,ScheduleTime,Airline,FlightNumber,Destination,AircraftType,FlightType,Sector,SeatCapacity,LoadFactor
39,2022-03-01 14:05:00,CN,514,EST,AT7,J,US,70,0.49698116224610894
40,2022-03-01 13:35:00,DO,1456,AUM,32N,J,US,180,0.26022538880872204
41,2022-03-01 14:55:00,SV,1529,CKE,73H,J,US,186,0.3592594255362243
42,2022-03-01 15:05:00,FP,550,DXB,77W,J,AE,428,0.4949720141805974
43,2022-03-01 15:25:00,DO,905,CKE,CR9,J,US,90,0.24478243061847688
44,2022-03-01 15:35:00,DO,668,YYZ,32N,J,CA,180,0.21334411576078205
45,2022-03-01 14:25:00,CL,2961,YQU,73H,J,CA,189,0.4377055425362234
46,2022-03-01 14:55:00,DO,974,YYJ,32N,J,CA,180,0.21104936625432766
47,2022-03-01 14:30:00,CL,3779,YWG,73H,J,CA,189,0.5189041162782608
48,2022-03-01 14:45:00,DO,986,YXC,319,J,CA,150,0.22425796596858635
49,2022-03-01 15:50:00,DO,814,ORD,333,J,US,262,0.21830600962573252
50,2022-03-01 16:25:00,CN,555,CKE,AT7,J,US,72,0.36462500561890876
51,2022-03-01 16:05:00,IR,1124,YFI,32A,J,CA,180,0.5134950009199895
52,2022-03-01 17:20:00,SV,1530,CKE,73H,J,US,186,0.35133608907452074
53,2022-03-01 16:25:00,DO,709,ZSW,CR9,J,CA,90,0.2514484077225456
54,2022-03-01 16:40:00,LJ,884,SCM,32A,J,US,186,0.5929662190747365
55,2022-03-01 16:35:00,DO,989,YXC,32N,J,CA,180,0.19337575757575723
56,2022-03-01 17:30:00,IR,1138,YXU,320,J,CA,180,0.5630915495015039
57,2022-03-01 17:15:00,DO,969,YYJ,32N,J,CA,180,0.21201383555658315
58,2022-03-01 17:20:00,CN,516,EST,AT7,J,US,70,0.5127894416146185
59,2022-03-01 17:05:00,DO,2915,AMN,32N,C,US,180,0.3936678223336115
60,2022-03-01 17:40:00,SV,1530,CKE,73H,J,US,186,0.35133608907452074
61,2022-03-01 18:30:00,DO,717,YLL,AT7,J,CA,70,0.11504215578668171
62,2022-03-01 18:20:00,SV,1672,YEG,73H,J,CA,186,0.34201237496313547
63,2022-03-01 18:15:00,NU,536,UTM,AT7,J,US,48,0.4057120798408696
64,2022-03-01 17:20:00,NV,1253,YCD,319,J,CA,180,0.3872332138521157
65,2022-03-01 17:55:00,DO,1045,YVR,CR9,J,CA,90,0.244858404644451
66,2022-03-01 18:40:00,DO,654,YXC,32N,J,CA,180,0.18282945548016444
67,2022-03-01 19:00:00,DO,699,YCD,CR9,J,CA,90,0.29614644059644046
68,2022-03-01 18:05:00,DO,832,PVG,333,J,CN,262,0.23032232768997485
69,2022-03-01 18:55:00,SV,1531,CKE,73H,J,US,186,0.33778356176734564
70,2022-03-01 19:10:00,CL,1849,YXU,73H,J,CA,189,0.5677521756893579
71,2022-03-01 18:45:00,JZ,820,YHM,32B,J,CA,209,0.3959809841100228
72,2022-03-01 19:00:00,ML,654,YKF,E90,J,CA,106,0.41197839558214955
73,2022-03-01 20:25:00,KU,924,YZF,223,J,CA,145,0.4180556912012519
74,2022-03-01 20:45:00,NH,602,MSP,E95,J,US,120,0.4207481869899928
75,2022-03-01 20:45:00,CL,702,DFW,73H,J,US,189,0.4030536820929926
76,2022-03-01 20:25:00,NI,2312,CLR,DH4,J,US,76,0.3681635388734967
77,2022-03-01 20:10:00,CL,1431,YBR,73H,J,CA,189,0.46086388851855153
78,2022-03-01 20:25:00,LJ,3256,YEG,32A,J,CA,186,0.6068931041691951
79,2022-03-01 21:25:00,DO,907,CKE,320,J,US,168,0.13377509726842166
80,2022-03-01 20:20:00,DO,923,KWT,AT7,J,US,70,0.14447758377774733
81,2022-03-01 20:25:00,DO,747,YJO,CR9,J,CA,90,0.20435594035593993
82,2022-03-01 22:05:00,LJ,1162,YWG,32A,J,CA,186,0.48547454085980585
83,2022-03-01 21:05:00,CN,518,EST,AT7,J,US,70,0.4735650912805756
84,2022-03-01 22:40:00,CL,2961,YQU,7M8,J,CA,197,0.399011422782957
85,2022-03-01 22:40:00,DO,751,HFD,CR9,J,US,90,0.11732333108184183
86,2022-03-02 06:25:00,UK,1315,YXX,319,J,CA,131,0.4957014338417225
87,2022-03-02 05:45:00,DO,2567,YXU,32N,J,CA,180,0.5465759259259257
88,2022-03-02 05:50:00,UK,777,YVR,32A,J,CA,172,0.4771878350046171
89,2022-03-02 07:30:00,DO,901,CKE,CR9,J,US,90,0.24441845755450387
90,2022-03-02 06:20:00,ML,653,YKF,E75,J,CA,82,0.43942279900074654
91,2022-03-02 06:25:00,DO,651,YXC,32N,J,CA,180,0.16888711029285725
92,2022-03-02 07:10:00,SV,1527,CKE,73H,J,US,186,0.42777493861140536
93,2022-03-02 06:45:00,CN,510,EST,AT4,J,US,46,0.4182762475860724
94,2022-03-02 06:55:00,DO,667,YYZ,32N,J,CA,180,0.19924015054762154
95,2022-03-02 08:20:00,DO,972,YYJ,32N,J,CA,180,0.24086378362691344
96,2022-03-02 07:10:00,DO,1043,ZSW,CR9,J,CA,90,0.19631366041365975
97,2022-03-02 08:35:00,DO,1123,OFF,CR9,J,US,90,0.1986775416121344
98,2022-03-02 07:45:00,DO,1454,AUM,CR9,J,US,90,0.21723499110708383
99,2022-03-02 08:00:00,CL,2781,HFD,73H,J,US,189,0.5256559201247812
100,2022-03-02 08:15:00,NU,534,UTM,AT7,J,US,48,0.3101115359145805
101,2022-03-02 08:40:00,CN,511,EST,AT7,J,US,70,0.36497767103997864
102,2022-03-02 08:45:00,DO,914,KWT,AT7,J,US,70,0.14618739827052354
103,2022-03-02 08:50:00,CN,551,CKE,AT7,J,US,72,0.36797902663973625
104,2022-03-02 08:30:00,DO,688,YLW,32N,J,CA,180,0.23950827652551765
105,2022-03-02 08:25:00,DO,679,YWG,CR9,J,CA,90,0.16119885866049652
106,2022-03-02 09:40:00,LJ,2394,YKA,320,J,CA,186,0.5758483439262057
107,2022-03-02 08:25:00,TN,554,DOH,789,J,QA,311,0.41974693011533926
108,2022-03-02 09:30:00,DO,902,CKE,32N,J,US,180,0.2426858767439315
109,2022-03-02 09:25:00,LJ,3140,DEN,320,J,US,186,0.5168465000260046
110,2022-03-02 09:30:00,LJ,1774,YLW,320,J,CA,186,0.5873242426285403
111,2022-03-02 09:55:00,KU,922,YZF,223,J,CA,145,0.5414722887956862
112,2022-03-02 10:15:00,NH,600,MSP,E95,J,US,120,0.5029927355382772
113,2022-03-02 10:00:00,CL,635,BWI,73H,J,US,189,0.557095874334298
114,2022-03-02 10:40:00,DO,1445,RNH,32N,J,US,180,0.33392457912457896
115,2022-03-02 10:40:00,ML,654,YKF,E75,J,CA,82,0.4612413476711929
116,2022-03-02 11:15:00,PU,857,ASE,738,J,US,189,0.5369610405287598
117,2022-03-02 10:45:00,CN,552,CKE,AT7,J,US,72,0.3783233420023631
118,2022-03-02 12:10:00,CL,3040,FTL,73H,J,US,189,0.5112608775314241
119,2022-03-02 11:20:00,DO,986,YXC,32N,J,CA,180,0.24037279151862237
120,2022-03-02 12:45:00,DO,727,BWI,32N,J,US,180,0.24529641746302322
121,2022-03-02 12:25:00,DO,764,AIY,32N,J,US,180,0.4964634170108299
122,2022-03-02 13:10:00,IA,876,DEN,73H,J,US,186,0.488589134652242
123,2022-03-02 12:25:00,DO,985,YXC,CR9,J,CA,90,0.22706819686707713
124,2022-03-02 12:20:00,LJ,988,YQQ,320,J,CA,186,0.6143344003500698
125,2022-03-02 12:15:00,JZ,822,YHM,32B,J,CA,209,0.4630347307921797
126,2022-03-02 13:05:00,DO,1080,YJO,CR9,J,CA,90,0.18352798621131916
127,2022-03-02 13:40:00,VW,771,YYZ,32Q,J,CA,220,0.5310646572170584
128,2022-03-02 12:25:00,MC,753,YXH,32Q,J,CA,216,0.5100117047156313
129,2022-03-02 12:55:00,DO,1070,YHM,CR9,J,CA,90,0.21415643571186171
130,2022-03-02 12:40:00,UK,1313,YXX,319,J,CA,131,0.4691607041139483
131,2022-03-02 14:05:00,DO,753,HFD,CR9,J,US,90,0.2172641307873865
132,2022-03-02 14:40:00,DO,1456,AUM,32N,J,US,180,0.3102496392496388
133,2022-03-02 13:40:00,DO,1124,OFF,CR9,J,US,90,0.2234789282638116
134,2022-03-02 14:05:00,IA,876,DEN,E75,J,US,88,0.5277650574015694
135,2022-03-02 14:30:00,UK,776,YVR,32A,J,CA,172,0.4397996461063993
136,2022-03-02 14:40:00,CN,526,ONL,AT4,J,US,46,0.446074253887832
137,2022-03-02 15:15:00,SV,1528,CKE,73H,J,US,186,0.38215377138776424
138,2022-03-02 14:30:00,DO,974,YYJ,32N,J,CA,180,0.25369682223784606
139,2022-03-02 15:35:00,DO,1016,DEN,CR9,J,US,90,0.2517548105641127
140,2022-03-02 16:15:00,TN,553,DOH,788,J,QA,254,0.48688073188717623
141,2022-03-02 16:05:00,DO,814,ORD,333,J,US,262,0.15892413206746603
142,2022-03-02 15:55:00,CL,1391,YYF,73H,J,CA,189,0.46905278578617127
143,2022-03-02 16:45:00,BJ,1903,YHZ,319,J,CA,150,0.48466069264456774
144,2022-03-02 16:30:00,DO,1385,YXX,32N,J,CA,180,0.3357127674925544
145,2022-03-02 16:05:00,SV,1530,CKE,73H,J,US,186,0.38437077446335577
146,2022-03-02 17:35:00,DO,709,ZSW,CR9,J,CA,90,0.2730779942279941
147,2022-03-02 16:45:00,DO,905,CKE,320,J,US,168,0.2872267127632851
148,2022-03-02 17:10:00,DO,989,YXC,32N,J,CA,180,0.32291801039779694
149,2022-03-02 17:50:00,DO,919,KWT,AT7,J,US,70,0.24433534569352408
150,2022-03-02 17:50:00,DO,686,YLW,CR9,J,CA,90,0.245659539842873
151,2022-03-02 17:15:00,CN,516,EST,AT7,J,US,70,0.5219642578565821
152,2022-03-02 18:15:00,IA,877,DEN,73H,J,US,186,0.5305107549686914
153,2022-03-02 17:55:00,SV,1530,CKE,73H,J,US,186,0.39216098934131
154,2022-03-02 17:20:00,CN,527,ONL,AT4,J,US,46,0.5031442748203214
155,2022-03-02 17:00:00,GQ,1095,CYT,7M8,J,US,151,0.564953701614147
156,2022-03-02 18:40:00,VW,773,YYZ,320,J,CA,180,0.5482688773383753
157,2022-03-02 17:20:00,NU,536,UTM,AT7,J,US,48,0.4334406322661891
158,2022-03-02 17:25:00,LJ,1162,YWG,320,J,CA,186,0.5922906117515515
159,2022-03-02 18:30:00,DO,1045,YVR,CR9,J,CA,90,0.2990756630490831
160,2022-03-02 17:45:00,DO,699,YCD,CR9,J,CA,90,0.30126125541125537
161,2022-03-02 18:25:00,CL,636,ASL,73H,J,US,189,0.5393367625963204
162,2022-03-02 19:40:00,SV,1531,CKE,73H,J,US,186,0.37228130373597795
163,2022-03-02 19:30:00,DO,976,YYJ,32N,J,CA,180,0.27648182497457297
164,2022-03-02 19:10:00,LJ,1385,LAS,320,J,US,186,0.5494449058322031
165,2022-03-02 19:35:00,DO,906,CKE,AT7,J,US,70,0.29087044245245314
166,2022-03-02 19:35:00,KU,924,YZF,320,J,CA,180,0.45043829820316544
167,2022-03-02 20:20:00,SV,1532,CKE,73H,J,US,186,0.35332922611014883
168,2022-03-02 20:50:00,NH,602,MSP,E95,J,US,120,0.4618568978454245
169,2022-03-02 20:25:00,BJ,3582,ZSW,32A,J,CA,180,0.36823811691706215
170,2022-03-02 19:55:00,NI,2312,CLR,DH4,J,US,76,0.4531585008867064
171,2022-03-02 19:45:00,LJ,1776,YLW,320,J,CA,186,0.6211136890650736
172,2022-03-02 21:05:00,LJ,3256,YEG,319,J,CA,156,0.6099544442654377
173,2022-03-02 21:00:00,DO,907,CKE,32N,J,US,180,0.14339572798074338
174,2022-03-02 20:20:00,DO,1125,OFF,CR9,J,US,90,0.20872603526963962
175,2022-03-02 21:20:00,DO,923,KWT,AT7,J,US,70,0.1692024515026148
176,2022-03-02 21:05:00,CL,3779,YWG,73H,J,CA,189,0.5642444040204007
177,2022-03-02 21:55:00,CL,711,YQR,73H,J,CA,189,0.5789922795382945
178,2022-03-02 22:35:00,DO,1414,DAB,CR9,J,US,90,0.08326583177026033
179,2022-03-02 23:25:00,DO,976,YYJ,32N,J,CA,180,0.09212407407407394
180,2022-03-03 06:15:00,MC,751,YXH,32N,J,CA,174,0.5415244598989648
181,2022-03-03 05:35:00,SV,1723,YXU,73H,J,CA,186,0.5654397714518455
182,2022-03-03 06:30:00,PW,950,YLW,319,J,CA,143,0.7246866040081975
183,2022-03-03 06:25:00,UK,777,YVR,32A,J,CA,172,0.5383239290719181
184,2022-03-03 07:10:00,DO,2567,YXU,32N,J,CA,180,0.6700338383838375
185,2022-03-03 07:00:00,SV,1564,YYJ,73H,J,CA,186,0.2649134837990456
186,2022-03-03 07:25:00,DO,651,YXC,CR9,J,CA,90,0.25830619157192936
187,2022-03-03 06:40:00,CN,510,EST,AT4,J,US,46,0.44453965073321766
188,2022-03-03 08:30:00,DO,700,YZF,32N,J,CA,180,0.28358846013501127
189,2022-03-03 07:45:00,CL,3040,FTL,73H,J,US,189,0.49531979756637234
190,2022-03-03 07:30:00,DO,1047,YLL,AT7,J,CA,70,0.1223263468013468
191,2022-03-03 08:25:00,DO,987,YXC,319,J,CA,150,0.2642337377480914
192,2022-03-03 07:40:00,DO,1123,OFF,CR9,J,US,90,0.22490498282940105
193,2022-03-03 08:05:00,NU,534,UTM,AT7,J,US,48,0.3236301666158931
194,2022-03-03 08:30:00,DO,704,YQQ,CR9,J,CA,90,0.2848332631874296
195,2022-03-03 08:35:00,CN,511,EST,AT7,J,US,70,0.4119465368462373
196,2022-03-03 07:50:00,DO,1061,LAS,32N,J,US,180,0.3485040354790602
197,2022-03-03 07:50:00,PO,619,RNH,73H,C,US,189,0.8129236617892446
198,2022-03-03 08:35:00,CN,551,CKE,AT7,J,US,72,0.398761920849565
199,2022-03-03 09:25:00,JZ,817,YHM,E90,J,CA,100,0.5865285738937991
200,2022-03-03 08:05:00,BJ,3581,ZSW,32A,J,CA,180,0.4039254584579101
201,2022-03-03 09:10:00,ZY,811,YXC,73H,J,CA,186,0.4353736302742476
202,2022-03-03 08:50:00,DO,644,YXE,CR9,J,CA,90,0.08670518025831313
203,2022-03-03 10:05:00,DO,817,HDI,359,J,US,300,0.220679227609304
204,2022-03-03 09:15:00,PW,1083,YLW,223,J,CA,148,0.7535504675774279
205,2022-03-03 10:45:00,IA,875,DEN,73H,J,US,186,0.5282447141359918
206,2022-03-03 10:05:00,CL,635,BWI,73H,J,US,189,0.5942330650294771
207,2022-03-03 09:45:00,LJ,3254,YEG,320,J,CA,186,0.6065829859132336
208,2022-03-03 10:45:00,LW,672,ARB,32Q,C,US,221,0.6440779754219671
209,2022-03-03 10:10:00,PU,857,ASE,738,J,US,189,0.6090786956511001
210,2022-03-03 10:50:00,ZY,2290,PHX,73H,J,US,186,0.6465630368012425
211,2022-03-03 12:05:00,DO,1057,YKA,CR9,J,CA,90,0.23205304702261623
212,2022-03-03 10:50:00,CN,552,CKE,AT7,J,US,72,0.4497396711615738
213,2022-03-03 12:25:00,DO,973,YYJ,32N,J,CA,180,0.27023647880933843
214,2022-03-03 12:00:00,ZP,800,KEF,32Q,J,IS,192,0.5530221853165727
215,2022-03-03 12:35:00,OK,750,YOW,320,J,CA,174,0.5444541772546064
216,2022-03-03 11:35:00,DO,1257,IJX,32N,J,US,180,0.3750712602212598
217,2022-03-03 13:10:00,IA,876,DEN,73H,J,US,186,0.5339482210218959
218,2022-03-03 11:55:00,SH,617,SIN,359,J,SG,253,0.21254492635562278
219,2022-03-03 12:45:00,DO,810,BOW,333,J,US,262,0.19090810295344487
220,2022-03-03 12:50:00,LJ,988,YQQ,320,J,CA,186,0.6481703280484837
221,2022-03-03 12:05:00,JZ,822,YHM,32B,J,CA,209,0.5057777213597002
222,2022-03-03 13:30:00,DO,1095,PTL,CR9,J,US,90,0.20067617201919508
223,2022-03-03 13:20:00,DO,1415,DAB,CR9,J,US,90,0.1294797560320815
224,2022-03-03 12:15:00,AY,651,YYG,320,J,CA,174,0.5019374553968222
225,2022-03-03 12:55:00,ZT,568,KEF,75W,J,IS,183,0.5407409745515438
226,2022-03-03 14:05:00,UK,1313,YXX,319,J,CA,131,0.5447914074332914
227,2022-03-03 13:50:00,DO,753,HFD,CR9,J,US,90,0.20629245579888164
228,2022-03-03 13:10:00,GQ,3125,ASE,73H,J,US,189,0.5863074757119271
229,2022-03-03 14:50:00,DO,1040,ZSW,CR9,J,CA,90,0.2012738723918337
230,2022-03-03 14:35:00,IA,876,DEN,E90,J,US,100,0.6346439117367194
231,2022-03-03 14:05:00,FP,550,DXB,77W,J,AE,428,0.49012587352266224
232,2022-03-03 15:05:00,CL,2961,YQU,7M8,J,CA,197,0.592810976802652
233,2022-03-03 13:55:00,RS,839,YXC,73H,J,CA,189,0.4390274550994275
234,2022-03-03 15:25:00,CN,526,ONL,AT4,J,US,46,0.6038170784277156
235,2022-03-03 15:20:00,KU,923,YZF,223,J,CA,145,0.5365415493740271
236,2022-03-03 15:45:00,DO,974,YYJ,32N,J,CA,180,0.2639932769325762
237,2022-03-03 14:55:00,NU,535,UTM,AT7,J,US,48,0.4147479032404375
238,2022-03-03 14:40:00,DO,986,YXC,320,J,CA,168,0.2776528657976783
239,2022-03-03 16:20:00,TN,553,DOH,788,J,QA,254,0.4903455354165672
240,2022-03-03 16:25:00,DO,1385,YXX,320,J,CA,168,0.3277991748333566
241,2022-03-03 15:25:00,CN,515,EST,AT4,J,US,46,0.5885100872027785
242,2022-03-03 17:15:00,DO,1417,YKF,CR9,J,CA,90,0.2920115999418322
243,2022-03-03 16:20:00,DO,709,ZSW,CR9,J,CA,90,0.2910448372615037
244,2022-03-03 16:35:00,DO,680,YWG,32N,J,CA,180,0.2280337736975666
245,2022-03-03 16:40:00,DO,989,YXC,32N,J,CA,180,0.26964575397613083
246,2022-03-03 16:45:00,DO,919,KWT,AT7,J,US,70,0.2561236441208138
247,2022-03-03 16:40:00,SV,1528,CKE,73H,J,US,186,0.46294820194070563
248,2022-03-03 16:45:00,DO,969,YYJ,32N,J,CA,180,0.2682083922050649
249,2022-03-03 17:40:00,CN,516,EST,AT7,J,US,72,0.5631536493444467
250,2022-03-03 17:35:00,DO,705,YQQ,32N,J,CA,180,0.2780989509213645
251,2022-03-03 18:10:00,DO,717,YLL,AT7,J,CA,70,0.15697457843791476
252,2022-03-03 17:30:00,GQ,1095,CYT,32Q,J,US,190,0.5916668504063967
253,2022-03-03 17:25:00,MD,1538,MJQ,321,J,US,230,0.5694170204331225
254,2022-03-03 18:15:00,DO,703,YZF,CR9,J,CA,90,0.3881446368446361
255,2022-03-03 18:15:00,CL,701,YBR,73H,J,CA,189,0.5926985038778184
256,2022-03-03 18:35:00,DO,1045,YVR,CR9,J,CA,90,0.32423827119649934
257,2022-03-03 18:45:00,UK,1314,YXX,319,J,CA,131,0.5730527985702238
258,2022-03-03 18:30:00,DO,699,YCD,CR9,J,CA,90,0.3173195266482148
259,2022-03-03 18:30:00,CN,556,CKE,AT7,J,US,72,0.5446446897213344
260,2022-03-03 19:10:00,SV,1531,CKE,73H,J,US,186,0.47338756547995803
261,2022-03-03 19:20:00,JZ,820,YHM,320,J,CA,174,0.5243696265059747
262,2022-03-03 18:40:00,DO,990,YXC,319,J,CA,150,0.33131547064982636
263,2022-03-03 19:25:00,ML,654,YKF,E90,J,CA,106,0.5654265978957365
264,2022-03-03 20:20:00,EM,546,GBR,223,J,US,145,0.4231243188141288
265,2022-03-03 19:25:00,NH,602,MSP,320,J,US,174,0.5385273406390667
266,2022-03-03 20:50:00,LJ,3154,DEN,319,J,US,156,0.5895275952452474
267,2022-03-03 20:00:00,BJ,1903,YHZ,32A,J,CA,180,0.4953525515221807
268,2022-03-03 20:55:00,LJ,1776,YLW,320,J,CA,186,0.6509744227855895
269,2022-03-03 20:55:00,DO,1460,YKK,CR9,J,CA,90,0.2561348803651125
270,2022-03-03 21:10:00,DO,709,ZSW,CR9,J,CA,90,0.22733641173641161
271,2022-03-03 21:20:00,DO,648,YXE,32N,J,CA,180,0.1539161947886084
272,2022-03-03 20:55:00,DO,1125,OFF,CR9,J,US,88,0.2493620395538999
273,2022-03-03 20:50:00,DO,747,YJO,CR9,J,CA,90,0.20705773609106928
274,2022-03-03 22:00:00,LJ,2396,YKA,320,J,CA,180,0.6207759248620887
275,2022-03-03 21:55:00,CN,518,EST,AT7,J,US,72,0.5113990661477081
276,2022-03-03 22:45:00,CL,711,YQR,7M8,J,CA,197,0.5747666494422786
277,2022-03-03 22:15:00,CL,1391,YYF,73H,J,CA,189,0.4655247702751805
278,2022-03-03 22:10:00,DO,991,YXC,32N,J,CA,180,0.10535610870610855
279,2022-03-03 23:05:00,DO,1414,DAB,CR9,J,US,90,0.08498100663333229
280,2022-03-04 05:25:00,IA,874,DEN,73J,J,US,188,0.6860055940085297
281,2022-03-04 06:40:00,PW,950,YLW,319,J,CA,143,0.7817647168932437
282,2022-03-04 05:55:00,SV,1743,BWI,73H,J,US,186,0.6263571619871988
283,2022-03-04 06:55:00,DO,901,CKE,CR9,J,US,90,0.354521657582804
284,2022-03-04 07:15:00,ML,653,YKF,E75,J,CA,82,0.5229227277199434
285,2022-03-04 06:35:00,NV,1256,YCD,320,J,CA,180,0.6380447133806706
286,2022-03-04 07:35:00,SV,1564,YYJ,73H,J,CA,186,0.4606555333575401
287,2022-03-04 07:00:00,SV,1527,CKE,73H,J,US,186,0.4988191902143949
288,2022-03-04 08:30:00,SV,1573,YXC,73H,J,CA,186,0.49022992803973864
289,2022-03-04 07:40:00,CL,2961,YQU,73H,J,CA,189,0.682080707798786
290,2022-03-04 07:50:00,DO,972,YYJ,32N,J,CA,180,0.3786227930132014
291,2022-03-04 07:45:00,DO,1047,YLL,AT7,J,CA,70,0.13208298369422986
292,2022-03-04 08:00:00,DO,750,YKF,CR9,J,CA,90,0.32405051623656256
293,2022-03-04 07:35:00,DO,1123,OFF,CR9,J,US,90,0.27767160531114
294,2022-03-04 08:35:00,NU,534,UTM,AT7,J,US,48,0.398931110319283
295,2022-03-04 07:50:00,DO,697,YCD,CR9,J,CA,90,0.3456546897546896
296,2022-03-04 08:05:00,SH,617,BWI,359,J,US,253,0.24484143467828914
297,2022-03-04 07:50:00,CN,524,ONL,AT4,J,US,46,0.421817728660425
298,2022-03-04 08:30:00,DO,1061,LAS,320,J,US,168,0.3724874302286613
299,2022-03-04 08:35:00,DO,698,KEF,32N,J,IS,180,0.30669517396184015
300,2022-03-04 08:20:00,PO,572,RNH,73H,C,US,189,0.7484161177223049
301,2022-03-04 09:30:00,DO,759,YOW,32N,J,CA,180,0.4492777777777774
302,2022-03-04 08:00:00,EM,544,GBR,223,J,US,145,0.40428418237272584
303,2022-03-04 09:15:00,CL,1431,YBR,7M8,J,CA,197,0.7003404590154407
304,2022-03-04 08:50:00,TN,554,DOH,788,J,QA,254,0.48290474628570695
305,2022-03-04 08:45:00,DO,972,YYJ,32N,J,CA,180,0.33980971781679276
306,2022-03-04 09:40:00,IK,868,BKL,32B,C,US,212,0.8618343102891549
307,2022-03-04 09:00:00,LJ,1774,YLW,320,J,CA,186,0.7436845988639159
308,2022-03-04 10:10:00,KU,922,YZF,223,J,CA,145,0.68732582150929
309,2022-03-04 08:55:00,CL,635,BWI,73H,J,US,189,0.7344802132402389
310,2022-03-04 09:20:00,NH,600,MSP,320,J,US,174,0.7038218573453066
311,2022-03-04 09:20:00,UK,775,YVR,CR9,J,CA,84,0.5930225708162049
312,2022-03-04 10:35:00,CL,2413,YWP,73H,J,CA,189,0.6896519062554639
313,2022-03-04 11:30:00,SV,1600,YKA,73H,J,CA,186,0.6446487851112963
314,2022-03-04 11:10:00,CL,1840,PHX,73H,J,US,189,0.7488412857144382
315,2022-03-04 11:55:00,DO,679,YQR,32N,J,CA,180,0.29679066859066794
316,2022-03-04 11:20:00,BT,660,NPA,DH4,J,US,76,0.5741475780755794
317,2022-03-04 11:55:00,CN,552,CKE,AT7,J,US,72,0.5719239950466746
318,2022-03-04 11:50:00,DO,764,AIY,32N,J,US,180,0.5473308900347108
319,2022-03-04 12:35:00,DO,986,YXC,32N,J,CA,180,0.3794794530707445
320,2022-03-04 11:50:00,DO,1078,DAN,CR9,J,US,90,0.27200234361119463
