ScheduleTime,Airline,FlightNumber,Destination,AircraftType,FlightType,Sector,SeatCapacity,LoadFactor
2021-01-02 16:15:00,CN,554,CKE,AT4,J,US,46,0.652173913043478
2021-01-02 14:55:00,DO,905,CKE,CR9,J,US,90,0.3
2021-01-02 15:30:00,TN,553,DOH,359,J,QA,283,0.162544169611307
2021-01-02 15:15:00,DO,919,KWT,AT7,J,US,70,0.114285714285714
2021-01-02 17:00:00,CL,702,DFW,73H,J,US,189,0.534391534391534
2021-01-02 18:20:00,JZ,818,YHM,AT7,J,CA,74,0.324324324324324
2021-01-02 18:50:00,IA,878,DEN,E75,J,US,88,0.522727272727272
2021-01-02 18:55:00,SQ,551,MJQ,73H,J,US,189,0.227513227513227
2021-01-02 20:40:00,NH,602,MSP,E95,J,US,120,0.233333333333333
2021-01-02 19:45:00,EM,546,GBR,223,J,US,145,0.241379310344827
2021-01-02 20:40:00,DO,648,YXE,CR9,J,CA,90,0.0
2021-01-02 22:20:00,CL,2961,YQU,73H,J,CA,189,0.375661375661375
2021-01-03 06:40:00,PW,950,YLW,319,J,CA,143,0.734265734265734
2021-01-03 07:00:00,IA,874,DEN,73H,J,US,186,0.569892473118279
2021-01-03 07:50:00,DO,667,YYZ,32N,J,CA,180,0.244444444444444
2021-01-03 07:35:00,DO,987,YXC,32N,J,CA,180,0.205555555555555
2021-01-03 08:10:00,DO,1454,AUM,CR9,J,US,90,0.144444444444444
2021-01-03 09:25:00,DO,759,YOW,32N,J,CA,180,0.0944444444444444
2021-01-03 09:20:00,DO,1092,YYG,32N,J,CA,180,0.0333333333333333
2021-01-03 09:40:00,LJ,3140,DEN,32A,J,US,186,0.301075268817204
2021-01-03 09:05:00,IA,875,DEN,E90,J,US,100,0.21
2021-01-03 10:05:00,CN,552,CKE,AT4,J,US,46,0.17391304347826
2021-01-03 11:15:00,CL,1840,PHX,73H,J,US,189,0.439153439153439
2021-01-03 12:00:00,UK,775,YVR,32Q,J,CA,215,0.525581395348837
2021-01-03 10:50:00,DO,1051,HDE,CR9,J,US,90,0.244444444444444
2021-01-03 11:50:00,DO,904,CKE,AT7,J,US,70,0.171428571428571
2021-01-03 12:30:00,CL,1849,YXU,73H,J,CA,189,0.597883597883597
2021-01-03 12:10:00,DO,803,EWR,359,J,US,300,0.46
2021-01-03 11:55:00,VW,771,YYZ,319,J,CA,143,0.825174825174825
2021-01-03 13:20:00,CN,554,CKE,AT4,J,US,46,0.608695652173913
2021-01-03 13:50:00,PU,858,ASE,32N,J,US,186,0.317204301075268
2021-01-03 13:50:00,UK,1313,YXX,CR9,J,CA,90,0.411111111111111
2021-01-03 13:20:00,AY,652,YYG,32N,J,CA,174,0.25287356321839
2021-01-03 13:10:00,DO,1057,YKA,CR9,J,CA,90,0.3
2021-01-03 13:30:00,ZY,1530,CKE,73H,J,US,189,0.227513227513227
2021-01-03 14:35:00,WR,594,GUS,73H,J,US,189,0.291005291005291
2021-01-03 13:35:00,IA,876,DEN,E75,J,US,88,0.431818181818181
2021-01-03 13:45:00,DO,652,YXC,32N,J,CA,180,0.411111111111111
2021-01-03 15:15:00,KU,922,YZF,221,J,CA,125,0.352
2021-01-03 14:15:00,DO,905,CKE,AT7,J,US,70,0.414285714285714
2021-01-03 15:05:00,UK,776,YVR,32A,J,CA,168,0.386904761904761
2021-01-03 15:25:00,CN,515,EST,AT7,J,US,72,0.597222222222222
2021-01-03 16:10:00,TN,553,DOH,359,J,QA,283,0.307420494699646
2021-01-03 15:20:00,LJ,2396,YKA,319,J,CA,156,0.685897435897435
2021-01-03 15:10:00,DO,919,KWT,AT7,J,US,70,0.0285714285714285
2021-01-03 17:15:00,DO,1005,YYZ,32N,J,CA,180,0.466666666666666
2021-01-03 16:15:00,DO,1457,AUM,32N,J,US,180,0.411111111111111
2021-01-03 16:10:00,DO,1124,OFF,CR9,J,US,90,0.3
2021-01-03 16:55:00,DO,1095,PTL,CR9,J,US,90,0.0555555555555555
2021-01-03 16:30:00,NU,541,UTM,AT7,J,US,48,0.208333333333333
2021-01-03 16:55:00,EM,565,PTL,223,J,US,145,0.248275862068965
2021-01-03 18:15:00,AY,653,YYG,32N,J,CA,174,0.103448275862068
2021-01-03 17:15:00,CN,556,CKE,AT4,J,US,46,0.434782608695652
2021-01-03 18:40:00,JZ,818,YHM,AT7,J,CA,74,0.364864864864864
2021-01-03 17:50:00,UK,1314,YXX,CR9,J,CA,90,0.277777777777777
2021-01-03 18:05:00,DO,699,YCD,32N,J,CA,180,0.427777777777777
2021-01-03 18:25:00,IA,878,DEN,73W,J,US,142,0.605633802816901
2021-01-03 19:05:00,OF,575,OTH,32Q,J,US,160,0.89375
2021-01-03 19:15:00,ZY,1531,CKE,73H,J,US,189,0.126984126984126
2021-01-03 19:55:00,AY,656,YYG,32N,J,CA,174,0.0747126436781609
2021-01-03 19:50:00,ML,654,YKF,E95,J,CA,118,0.161016949152542
2021-01-03 20:00:00,ZT,571,KEF,75W,J,IS,183,0.40983606557377
2021-01-03 21:10:00,CL,635,MQI,73H,J,US,189,0.211640211640211
2021-01-03 20:20:00,NI,2312,CLR,DH4,J,US,76,0.539473684210526
2021-01-03 21:15:00,LJ,990,YQQ,320,J,CA,186,0.424731182795698
2021-01-03 21:30:00,CL,711,YQR,73H,J,CA,189,0.492063492063492
2021-01-03 22:45:00,DO,991,YXC,32N,J,CA,180,0.233333333333333
2021-01-03 23:15:00,DO,976,YYJ,32N,J,CA,180,0.0222222222222222
2021-01-04 06:25:00,DO,695,YXJ,32N,J,CA,180,0.116666666666666
2021-01-04 06:10:00,PW,950,YLW,319,J,CA,143,0.58041958041958
2021-01-04 07:05:00,KU,926,YZF,221,J,CA,125,0.328
2021-01-04 07:00:00,UK,777,YVR,321,J,CA,200,0.655
2021-01-04 08:25:00,DO,700,YZF,32N,J,CA,180,0.127777777777777
2021-01-04 07:15:00,DO,972,YYJ,32N,J,CA,180,0.161111111111111
2021-01-04 08:25:00,DO,1123,OFF,CR9,J,US,90,0.0444444444444444
2021-01-04 07:40:00,DO,1454,AUM,CR9,J,US,90,0.166666666666666
2021-01-04 09:15:00,CN,511,EST,AT4,J,US,46,0.782608695652174
2021-01-04 08:45:00,CN,551,CKE,AT4,J,US,46,0.217391304347826
2021-01-04 09:25:00,ZY,1527,CKE,73H,J,US,189,0.126984126984126
2021-01-04 08:55:00,DO,902,CKE,AT7,J,US,70,0.0857142857142857
2021-01-04 09:20:00,QU,633,YPJ,320,J,CA,174,0.32183908045977
2021-01-04 09:25:00,PW,1083,YLW,E70,J,CA,76,0.828947368421052
2021-01-04 10:30:00,NH,600,MSP,E95,J,US,120,0.358333333333333
2021-01-04 12:05:00,ZY,813,YXC,73H,J,CA,189,0.285714285714285
2021-01-04 11:10:00,NV,1252,YCD,320,J,CA,180,0.794444444444444
2021-01-04 11:45:00,IA,876,DEN,73W,J,US,142,0.612676056338028
2021-01-04 12:10:00,DO,753,HFD,CR9,J,US,90,0.0111111111111111
2021-01-04 13:10:00,DO,1080,YJO,CR9,J,CA,90,0.188888888888888
2021-01-04 13:45:00,KU,922,YZF,221,J,CA,125,0.48
2021-01-04 13:15:00,CN,514,EST,AT4,J,US,46,0.67391304347826
2021-01-04 14:00:00,DO,1124,OFF,CR9,J,US,90,0.266666666666666
2021-01-04 14:15:00,DO,905,CKE,AT7,J,US,70,0.171428571428571
2021-01-04 14:30:00,ZT,605,KEF,75W,J,IS,188,0.287234042553191
2021-01-04 14:55:00,WT,753,CAI,32N,J,EG,146,0.267123287671232
2021-01-04 14:30:00,UK,776,YVR,319,J,CA,138,0.260869565217391
2021-01-04 15:55:00,TN,553,DOH,359,J,QA,283,0.19434628975265
2021-01-04 16:40:00,CN,515,EST,AT4,J,US,46,0.934782608695652
2021-01-04 17:20:00,OK,751,YOW,321,J,CA,206,0.208737864077669
2021-01-04 17:00:00,DO,905,CKE,AT7,J,US,70,0.142857142857142
2021-01-04 18:10:00,DO,705,YQQ,32N,J,CA,180,0.233333333333333
2021-01-04 18:25:00,DO,921,KWT,AT7,J,US,70,0.114285714285714
2021-01-04 17:30:00,NU,536,UTM,AT7,J,US,64,0.109375
2021-01-04 18:55:00,JZ,818,YHM,AT7,J,CA,74,0.432432432432432
2021-01-04 17:55:00,DO,1045,YVR,32N,J,CA,180,0.105555555555555
2021-01-04 18:25:00,CN,516,EST,AT4,J,US,46,0.608695652173913
2021-01-04 19:35:00,KU,924,YZF,223,J,CA,145,0.317241379310344
2021-01-04 19:35:00,DO,976,YYJ,32N,J,CA,180,0.166666666666666
2021-01-04 18:55:00,LJ,1384,LAS,319,J,US,156,0.0961538461538461
2021-01-04 20:40:00,ML,654,YKF,E90,J,CA,106,0.0566037735849056
2021-01-04 20:20:00,VJ,669,YHZ,AT7,J,CA,70,0.242857142857142
2021-01-04 19:55:00,CL,1849,YXU,73H,J,CA,189,0.719576719576719
2021-01-04 19:45:00,CL,1408,DAN,73H,J,US,189,0.116402116402116
2021-01-04 22:35:00,MD,1538,MJQ,32B,J,US,230,0.265217391304347
2021-01-04 22:05:00,DO,991,YXC,32N,J,CA,180,0.116666666666666
2021-01-04 22:15:00,DO,976,YYJ,32N,J,CA,180,0.0111111111111111
2021-01-05 06:30:00,DO,633,YYJ,32N,J,CA,180,0.00555555555555555
2021-01-05 06:15:00,IA,874,DEN,73H,J,US,186,0.5
2021-01-05 07:55:00,DO,972,YYJ,32N,J,CA,180,0.0777777777777777
2021-01-05 08:50:00,TN,554,DOH,359,J,QA,283,0.148409893992932
2021-01-05 08:45:00,NU,534,UTM,AT7,J,US,64,0.09375
2021-01-05 08:15:00,CN,511,EST,AT4,J,US,46,0.456521739130434
2021-01-05 08:45:00,ZY,1527,CKE,73H,J,US,189,0.0952380952380952
2021-01-05 09:40:00,VD,2760,FNK,332,C,US,278,0.172661870503597
2021-01-05 11:00:00,CL,635,MQI,73H,J,US,189,0.285714285714285
2021-01-05 12:05:00,BT,660,NPA,DH4,J,US,76,0.144736842105263
2021-01-05 12:05:00,IA,876,DEN,73H,J,US,186,0.306451612903225
2021-01-05 12:15:00,VW,771,YYZ,32N,J,CA,180,0.394444444444444
2021-01-05 12:35:00,DO,1415,DAB,CR9,J,US,90,0.0333333333333333
2021-01-05 14:00:00,CN,514,EST,AT4,J,US,46,0.739130434782608
2021-01-05 14:25:00,DO,905,CKE,AT7,J,US,70,0.0857142857142857
2021-01-05 14:35:00,PW,1117,YLW,319,J,CA,143,0.65034965034965
2021-01-05 15:55:00,CN,555,CKE,AT7,J,US,72,0.125
2021-01-05 15:55:00,UI,1942,YXC,73H,C,CA,189,0.0423280423280423
2021-01-05 16:35:00,DO,905,CKE,CR9,J,US,90,0.0777777777777777
2021-01-05 16:40:00,DO,1457,AUM,CR9,J,US,90,0.288888888888888
2021-01-05 17:50:00,CN,516,EST,AT4,J,US,46,0.608695652173913
2021-01-05 18:30:00,DO,921,KWT,AT7,J,US,70,0.0857142857142857
2021-01-05 17:35:00,NU,536,UTM,AT7,J,US,64,0.125
2021-01-05 18:20:00,DO,654,YXC,32N,J,CA,180,0.0722222222222222
2021-01-05 18:10:00,IA,878,DEN,73W,J,US,142,0.394366197183098
2021-01-05 19:05:00,DO,976,YYJ,32N,J,CA,180,0.1
2021-01-05 19:50:00,CL,702,DFW,73H,J,US,189,0.402116402116402
2021-01-05 21:05:00,DO,907,CKE,AT7,J,US,70,0.128571428571428
2021-01-05 21:55:00,DO,991,YXC,32N,J,CA,180,0.0333333333333333
2021-01-06 06:35:00,DO,650,YXC,32N,J,CA,180,0.111111111111111
2021-01-06 06:00:00,PW,950,YLW,318,J,CA,131,0.648854961832061
2021-01-06 06:25:00,DO,694,YXU,32N,J,CA,180,0.455555555555555
2021-01-06 08:25:00,DO,972,YYJ,32N,J,CA,180,0.0722222222222222
2021-01-06 07:45:00,DO,987,YXC,32N,J,CA,180,0.166666666666666
2021-01-06 08:15:00,CN,511,EST,AT4,J,US,46,0.739130434782608
2021-01-06 08:55:00,ZY,1527,CKE,73H,J,US,189,0.0952380952380952
2021-01-06 10:05:00,DO,1445,RNH,32N,J,US,180,0.416666666666666
2021-01-06 10:40:00,ZY,813,YXC,73H,J,CA,189,0.158730158730158
2021-01-06 10:45:00,BT,660,NPA,DH4,J,US,76,0.223684210526315
2021-01-06 12:10:00,IA,876,DEN,73H,J,US,186,0.349462365591397
2021-01-06 13:30:00,DO,753,HFD,CR9,J,US,90,0.0222222222222222
2021-01-06 12:00:00,DO,1080,YJO,CR9,J,CA,90,0.0222222222222222
2021-01-06 13:20:00,DO,1415,DAB,CR9,J,US,90,0.0555555555555555
2021-01-06 13:25:00,DO,1124,OFF,CR9,J,US,90,0.288888888888888
2021-01-06 14:50:00,FP,550,DXB,77W,J,AE,428,0.644859813084112
2021-01-06 14:15:00,DO,668,YYZ,32N,J,CA,180,0.116666666666666
2021-01-06 16:10:00,DO,1031,YCD,CR9,J,CA,90,0.611111111111111
2021-01-06 15:50:00,TN,553,DOH,359,J,QA,283,0.243816254416961
2021-01-06 15:55:00,DO,905,CKE,CR9,J,US,90,0.166666666666666
2021-01-06 17:10:00,SQ,551,MJQ,73H,J,US,189,0.19047619047619
2021-01-06 16:45:00,CN,516,EST,AT7,J,US,68,0.426470588235294
2021-01-06 17:45:00,DO,921,KWT,AT7,J,US,70,0.128571428571428
2021-01-06 18:50:00,CN,556,CKE,AT4,J,US,46,0.326086956521739
2021-01-06 17:30:00,JZ,818,YHM,AT7,J,CA,74,0.513513513513513
2021-01-06 18:50:00,DO,654,YXC,32N,J,CA,180,0.15
2021-01-06 18:55:00,OF,575,OTH,32Q,J,US,160,0.79375
2021-01-06 19:25:00,ZY,1531,CKE,73H,J,US,189,0.148148148148148
2021-01-06 19:05:00,FO,792,ISN,332,J,US,237,0.624472573839662
2021-01-06 20:40:00,NH,602,MSP,E95,J,US,120,0.25
2021-01-06 19:35:00,EM,546,GBR,223,J,US,145,0.110344827586206
2021-01-06 21:15:00,MD,1959,BZF,32Q,J,US,239,0.430962343096234
2021-01-06 23:00:00,DO,991,YXC,32N,J,CA,180,0.0333333333333333
2021-01-07 05:25:00,DO,650,YXC,32N,J,CA,180,0.0611111111111111
2021-01-07 06:55:00,DO,633,YYJ,32N,J,CA,180,0.0333333333333333
2021-01-07 07:25:00,IA,874,DEN,73H,J,US,186,0.704301075268817
2021-01-07 06:55:00,CN,510,EST,AT7,J,US,68,0.264705882352941
2021-01-07 07:50:00,TN,554,DOH,359,J,QA,283,0.0954063604240282
2021-01-07 09:05:00,NU,534,UTM,AT7,J,US,64,0.140625
2021-01-07 08:35:00,CN,511,EST,AT7,J,US,72,0.458333333333333
2021-01-07 07:55:00,ZY,1527,CKE,73H,J,US,189,0.0793650793650793
2021-01-07 10:25:00,CL,2961,YQU,73H,J,CA,189,0.47089947089947
2021-01-07 10:55:00,ML,654,YKF,E75,J,CA,82,0.317073170731707
2021-01-07 11:30:00,JZ,818,YHM,AT7,J,CA,74,0.554054054054054
2021-01-07 12:40:00,IA,876,DEN,73W,J,US,142,0.408450704225352
2021-01-07 12:20:00,WR,594,MKG,73H,J,US,189,0.269841269841269
2021-01-07 13:50:00,KU,922,YZF,221,J,CA,125,0.584
2021-01-07 13:50:00,DO,1415,DAB,CR9,J,US,90,0.0666666666666666
2021-01-07 14:25:00,MD,2574,ZTM,32A,J,CA,180,0.455555555555555
2021-01-07 13:55:00,DO,905,CKE,AT7,J,US,70,0.142857142857142
2021-01-07 14:20:00,PW,1117,YLW,319,J,CA,143,0.496503496503496
2021-01-07 16:15:00,CN,555,CKE,AT4,J,US,46,0.543478260869565
2021-01-07 16:10:00,TN,553,DOH,359,J,QA,283,0.190812720848056
2021-01-07 16:00:00,DO,1005,YYZ,32N,J,CA,180,0.183333333333333
2021-01-07 17:30:00,DO,709,ZSW,CR9,J,CA,90,0.2
2021-01-07 16:30:00,DO,1457,AUM,CR9,J,US,90,0.2
2021-01-07 16:55:00,CN,516,EST,AT7,J,US,68,0.514705882352941
2021-01-07 17:40:00,MD,3071,PHK,32A,J,US,180,0.316666666666666
2021-01-07 17:50:00,CN,556,CKE,AT4,J,US,46,0.347826086956521
2021-01-07 17:55:00,DO,654,YXC,32N,J,CA,180,0.0722222222222222
2021-01-07 18:05:00,IA,878,DEN,73W,J,US,142,0.295774647887323
2021-01-07 19:15:00,ZY,1531,CKE,73H,J,US,189,0.137566137566137
2021-01-07 20:10:00,EM,546,GBR,223,J,US,145,0.0896551724137931
2021-01-07 23:10:00,DO,991,YXC,32N,J,CA,180,0.05
2021-01-08 05:40:00,DO,650,YXC,32N,J,CA,180,0.0722222222222222
2021-01-08 05:40:00,DO,633,YYJ,32N,J,CA,180,0.0111111111111111
2021-01-08 08:10:00,CN,511,EST,AT7,J,US,72,0.402777777777777
2021-01-08 08:20:00,DO,987,YXC,32N,J,CA,180,0.138888888888888
2021-01-08 08:55:00,CN,551,CKE,AT4,J,US,46,0.239130434782608
2021-01-08 09:30:00,DO,902,CKE,AT7,J,US,70,0.142857142857142
2021-01-08 09:15:00,CL,1408,DAN,73H,J,US,189,0.206349206349206
2021-01-08 11:05:00,ZY,813,YXC,73H,J,CA,189,0.312169312169312
2021-01-08 11:35:00,CN,512,EST,AT7,J,US,72,0.472222222222222
2021-01-08 12:05:00,OK,750,YOW,32N,J,CA,180,0.305555555555555
2021-01-08 11:25:00,IA,876,DEN,73H,J,US,186,0.290322580645161
2021-01-08 12:00:00,CL,1840,PHX,73H,J,US,189,0.486772486772486
2021-01-08 13:05:00,DO,680,YWG,CR9,J,CA,90,0.288888888888888
2021-01-08 12:30:00,PU,858,ASE,73H,J,US,189,0.349206349206349
2021-01-08 13:50:00,DO,1415,DAB,CR9,J,US,90,0.0333333333333333
2021-01-08 13:35:00,DO,1124,OFF,CR9,J,US,90,0.333333333333333
2021-01-08 14:40:00,FP,550,DXB,77W,J,AE,428,0.490654205607476
2021-01-08 15:00:00,WT,753,CAI,32N,J,EG,146,0.506849315068493
2021-01-08 15:35:00,PW,1117,YLW,319,J,CA,143,0.608391608391608
2021-01-08 15:55:00,CN,555,CKE,AT4,J,US,46,0.847826086956521
2021-01-08 16:00:00,CN,515,EST,AT7,J,US,72,0.652777777777777
2021-01-08 16:25:00,ZY,1530,CKE,73H,J,US,189,0.291005291005291
2021-01-08 17:35:00,DO,1457,AUM,CR9,J,US,90,0.0888888888888888
2021-01-08 17:30:00,DO,705,YQQ,CR9,J,CA,90,0.266666666666666
2021-01-08 18:15:00,NU,536,UTM,AT7,J,US,64,0.125
2021-01-08 17:30:00,VW,773,YYZ,319,J,CA,143,0.405594405594405
2021-01-08 17:30:00,DO,654,YXC,32N,J,CA,180,0.266666666666666
2021-01-08 18:35:00,IA,878,DEN,E90,J,US,100,0.62
2021-01-08 18:20:00,ZY,1531,CKE,73H,J,US,189,0.174603174603174
2021-01-08 20:05:00,ML,654,YKF,E95,J,CA,118,0.211864406779661
2021-01-08 20:05:00,QU,635,YPJ,319,J,CA,144,0.416666666666666
2021-01-08 21:00:00,DO,907,CKE,AT7,J,US,70,0.171428571428571
2021-01-08 22:10:00,MD,1538,MJQ,32A,J,US,180,0.172222222222222
2021-01-08 22:25:00,DO,976,YYJ,32N,J,CA,180,0.0166666666666666
2021-01-09 07:05:00,KU,926,YZF,223,J,CA,145,0.310344827586206
2021-01-09 06:30:00,IA,874,DEN,73W,J,US,142,0.816901408450704
2021-01-09 09:00:00,DO,1362,YXJ,32N,J,CA,180,0.316666666666666
2021-01-09 08:25:00,DO,1445,RNH,32N,J,US,180,0.2
2021-01-09 09:30:00,CN,512,EST,AT4,J,US,46,0.521739130434782
2021-01-09 10:15:00,MD,2024,CKX,32A,J,US,180,0.194444444444444
2021-01-09 10:50:00,CL,1688,YPP,73H,J,CA,189,0.275132275132275
2021-01-09 11:10:00,DO,973,YYJ,32N,J,CA,180,0.05
2021-01-09 12:20:00,DO,986,YXC,32N,J,CA,180,0.172222222222222
2021-01-09 12:00:00,DO,695,YXU,32N,J,CA,180,0.35
2021-01-09 12:20:00,DO,803,EWR,359,J,US,300,0.233333333333333
2021-01-09 12:30:00,DO,915,KWT,AT7,J,US,70,0.0142857142857142
2021-01-09 13:15:00,PU,858,ASE,73H,J,US,189,0.343915343915343
2021-01-09 14:25:00,FP,550,DXB,77W,J,AE,428,0.287383177570093
2021-01-09 14:30:00,DO,701,YZF,32N,J,CA,180,0.333333333333333
2021-01-09 15:40:00,DO,668,YYZ,32N,J,CA,180,0.227777777777777
2021-01-09 14:25:00,CN,517,EST,AT4,J,US,46,0.347826086956521
2021-01-09 15:45:00,LJ,988,YQQ,319,J,CA,156,0.506410256410256
2021-01-09 15:35:00,DO,986,YXC,32N,J,CA,180,0.138888888888888
2021-01-09 15:30:00,TN,553,DOH,359,J,QA,283,0.282685512367491
2021-01-09 16:40:00,DO,905,CKE,AT7,J,US,70,0.314285714285714
2021-01-09 17:40:00,JZ,818,YHM,AT7,J,CA,74,0.405405405405405
2021-01-09 20:20:00,CL,1849,YXU,73H,J,CA,189,0.534391534391534
2021-01-09 19:25:00,SQ,551,MJQ,73W,J,US,150,0.173333333333333
2021-01-09 20:30:00,DO,648,YXE,CR9,J,CA,90,0.0222222222222222
2021-01-10 05:30:00,PW,950,YLW,318,J,CA,131,0.564885496183206
2021-01-10 06:45:00,IA,874,DEN,73W,J,US,142,0.485915492957746
2021-01-10 08:40:00,DO,695,YXU,32N,J,CA,180,0.233333333333333
2021-01-10 08:05:00,DO,972,YYJ,32N,J,CA,180,0.0722222222222222
2021-01-10 09:25:00,DO,759,YOW,32N,J,CA,180,0.0833333333333333
2021-01-10 09:00:00,DO,902,CKE,AT7,J,US,70,0.0428571428571428
2021-01-10 10:30:00,MD,3071,PHK,32Q,J,US,185,0.372972972972973
2021-01-10 10:50:00,CL,1840,PHX,73H,J,US,189,0.328042328042328
2021-01-10 12:30:00,JZ,818,YHM,AT7,J,CA,74,0.716216216216216
2021-01-10 11:40:00,DO,973,YYJ,CR9,J,CA,90,0.111111111111111
2021-01-10 11:45:00,DO,808,LUL,333,J,US,266,0.236842105263157
2021-01-10 12:10:00,DO,803,EWR,359,J,US,300,0.276666666666666
2021-01-10 13:15:00,DO,1080,YJO,CR9,J,CA,90,0.111111111111111
2021-01-10 13:00:00,ZT,568,KEF,75W,J,IS,188,0.356382978723404
2021-01-10 12:50:00,PU,858,ASE,32N,J,US,186,0.32258064516129
2021-01-10 13:15:00,DO,753,HFD,CR9,J,US,90,0.0111111111111111
2021-01-10 13:55:00,ZY,1530,CKE,73H,J,US,189,0.179894179894179
2021-01-10 13:40:00,CN,514,EST,AT4,J,US,46,0.413043478260869
2021-01-10 14:40:00,IA,876,DEN,E75,J,US,88,0.46590909090909
2021-01-10 13:50:00,FP,550,DXB,77W,J,AE,428,0.292056074766355
2021-01-10 14:20:00,WT,753,CAI,32N,J,EG,146,0.157534246575342
2021-01-10 14:20:00,DO,974,YYJ,32N,J,CA,180,0.144444444444444
2021-01-10 15:55:00,PW,1117,YLW,E90,J,CA,100,0.73
2021-01-10 14:55:00,DO,814,ORD,333,J,US,262,0.0534351145038167
2021-01-10 16:40:00,MC,752,YXH,32N,J,CA,174,0.528735632183908
2021-01-10 16:50:00,DO,919,KWT,AT7,J,US,70,0.0142857142857142
2021-01-10 17:20:00,DO,1005,YYZ,32N,J,CA,180,0.255555555555555
2021-01-10 16:35:00,IR,1124,YFI,32N,J,CA,186,0.521505376344086
2021-01-10 17:00:00,DO,1457,AUM,CR9,J,US,90,0.322222222222222
2021-01-10 17:35:00,NU,541,UTM,AT7,J,US,64,0.21875
2021-01-10 18:30:00,CN,516,EST,AT7,J,US,72,0.569444444444444
2021-01-10 18:05:00,EM,565,PTL,223,J,US,145,0.186206896551724
2021-01-10 18:40:00,CN,556,CKE,AT4,J,US,46,0.630434782608695
2021-01-10 18:15:00,UK,1314,YXX,CR9,J,CA,90,0.155555555555555
2021-01-10 18:15:00,DO,699,YCD,CR9,J,CA,90,0.355555555555555
2021-01-10 18:35:00,IA,878,DEN,73W,J,US,142,0.535211267605633
2021-01-10 18:40:00,ZY,1531,CKE,73H,J,US,189,0.238095238095238
